Date;Order_id;Customer_name;Product_name;Quantity_ordered_product;Measuring_unit;Product_type;Order_status;
2022-08-06 14:27:59;caffcac1-9f19-4b6f-b951-cc5e684e2d92;herrere asfasf;Water;4.0;liter;LIQUID;REJECTED;
2022-08-06 14:36:09;f1d59afb-c300-4f63-bc9b-4d3a6b8c1c38;adq;Water;6.0;liter;LIQUID;REJECTED;
2022-08-06 14:36:09;fd934c92-c54e-4817-ad70-b3314092ea97;herrere asfasf;Chocolate;6;pcs;COUNTABLE;REJECTED;
2022-08-06 14:36:09;fd934c92-c54e-4817-ad70-b3314092ea97;herrere asfasf;Strawberry;2;box;COUNTABLE;REJECTED;
2022-08-06 14:36:09;fd934c92-c54e-4817-ad70-b3314092ea97;herrere asfasf;Strawberry;8;box;COUNTABLE;REJECTED;
2022-08-06 14:41:18;93e9df6e-9d10-43e9-bfef-a42ea0fc7230;sf;Bear;4.0;pint;LIQUID;REJECTED;
2022-08-06 14:44:41;77538983-ac1e-4f87-a44b-bac8224000b8;sf;Bread;7;pcs;COUNTABLE;REJECTED;
2022-08-06 14:47:25;a77d6052-7192-4c52-a255-0a18eab095a6;sdgsd;Bear;2.0;pint;LIQUID;REJECTED;
2022-08-06 14:48:33;7186a37c-4cb0-4f1f-879d-6392e2f1f0cb;pen okio;Bread;5;pcs;COUNTABLE;REJECTED;
2022-08-06 14:48:33;7186a37c-4cb0-4f1f-879d-6392e2f1f0cb;pen okio;Strawberry;2;box;COUNTABLE;REJECTED;
2022-08-06 14:50:38;8673c65c-f760-41c4-a99f-070c25f36e3a;pen okio;Olive oil;8.0;gallon;LIQUID;REJECTED;
2022-08-06 14:51:43;2758adc9-c9e3-4c49-9695-966ac7ed4b1f;sflsjf;  asfjs;f;Bear;5.0;pint;LIQUID;REJECTED;
2022-08-06 14:51:43;2758adc9-c9e3-4c49-9695-966ac7ed4b1f;sflsjf;  asfjs;f;Olive oil;2.0;gallon;LIQUID;REJECTED;
2022-08-06 14:56:03;97570064-9b99-4647-9b8a-52d6f22c8436;sflsjf;  asfjs;f;Chocolate;3;pcs;COUNTABLE;REJECTED;
2022-08-06 14:56:03;97570064-9b99-4647-9b8a-52d6f22c8436;sflsjf;  asfjs;f;Bread;6;pcs;COUNTABLE;REJECTED;
2022-08-06 14:56:03;97570064-9b99-4647-9b8a-52d6f22c8436;sflsjf;  asfjs;f;Strawberry;2;box;COUNTABLE;REJECTED;
2022-08-06 14:59:11;3e3a0f42-d8d9-4b0a-ad7d-bd776e4f4eb3;lsdkagj;dlg;Olive oil;6.0;gallon;LIQUID;REJECTED;
2022-08-06 14:59:11;c9cb4c36-be50-4fe1-8a5d-56cd66a89d87;lsdkagj;dlg;Canned fish;3;pickle;COUNTABLE;REJECTED;
2022-08-06 15:00:28;26b98eb5-8379-4c24-88f0-27a35bbca420;safsd;Strawberry;2;box;COUNTABLE;REJECTED;
2022-08-06 15:00:30;604cb342-4914-4764-899c-b7161aea5a58;safsd;Water;9.0;liter;LIQUID;REJECTED;
2022-08-06 15:00:30;604cb342-4914-4764-899c-b7161aea5a58;safsd;Olive oil;1.0;gallon;LIQUID;REJECTED;
2022-08-06 15:00:30;604cb342-4914-4764-899c-b7161aea5a58;safsd;Olive oil;1.0;gallon;LIQUID;REJECTED;
2022-08-06 15:00:30;604cb342-4914-4764-899c-b7161aea5a58;safsd;Milk;99.0;liter;LIQUID;REJECTED;
2022-08-06 15:00:30;604cb342-4914-4764-899c-b7161aea5a58;safsd;Olive oil;12.0;gallon;LIQUID;REJECTED;
